#model_version:v2026.06.15,score_date:2026-08-25T12:03:58Z
cve,epss,percentile,change_type
CVE-1999-1000,0.02021,0.79469,updated
CVE-1999-1001,0.01397,0.70365,updated
CVE-1999-1003,0.01871,0.77747,updated
CVE-1999-1009,0.01458,0.71522,updated
CVE-1999-1010,0.0142,0.70798,updated
CVE-1999-1019,0.00348,0.2746,updated
CVE-1999-1021,0.00414,0.34218,updated
CVE-1999-1022,0.00799,0.53795,updated
CVE-1999-1025,0.00351,0.27681,updated
CVE-1999-1035,0.17478,0.96894,updated
CVE-1999-1042,0.00336,0.26038,updated
CVE-1999-1043,0.13332,0.96097,updated
CVE-1999-1045,0.02167,0.80878,updated
CVE-1999-1047,0.01681,0.75154,updated
CVE-1999-1048,0.00539,0.42961,updated
CVE-1999-1049,0.01759,0.76259,updated
CVE-1999-1052,0.14337,0.96328,updated
CVE-1999-1054,0.01283,0.67891,updated
CVE-1999-1055,0.06885,0.93554,updated
CVE-1999-1060,0.01919,0.78325,updated
CVE-1999-1061,0.03775,0.89111,updated
CVE-1999-1062,0.02494,0.83436,updated
CVE-1999-1064,0.025,0.8347,updated
CVE-1999-1068,0.0212,0.80461,updated
CVE-1999-1070,0.01276,0.67741,updated
CVE-1999-1071,0.00352,0.27809,updated
CVE-1999-1073,0.00371,0.29836,updated
CVE-1999-1076,0.00451,0.37317,updated
CVE-1999-1077,0.00451,0.37318,updated
CVE-1999-1080,0.00352,0.2785,updated
CVE-1999-1086,0.02622,0.84299,updated
CVE-1999-1087,0.06281,0.93044,updated
CVE-1999-1089,0.00606,0.46337,updated
CVE-1999-1090,0.01674,0.75052,updated
CVE-1999-1092,0.00315,0.23696,updated
CVE-1999-1093,0.12553,0.95919,updated
CVE-1999-1094,0.18084,0.96968,updated
CVE-1999-1095,0.00348,0.2746,updated
CVE-1999-1099,0.0132,0.68684,updated
CVE-1999-1100,0.01362,0.6965,updated
CVE-1999-1101,0.00246,0.15582,updated
CVE-1999-1102,0.00436,0.3621,updated
CVE-1999-1104,0.01013,0.60597,updated
CVE-1999-1105,0.21749,0.97449,updated
CVE-1999-1107,0.00361,0.28781,updated
CVE-1999-1111,0.0182,0.77091,updated
CVE-1999-1115,0.00561,0.4416,updated
CVE-1999-1119,0.04236,0.9027,updated
CVE-1999-1122,0.00368,0.29507,updated
CVE-1999-1125,0.03715,0.88921,updated
CVE-1999-1128,0.03621,0.88628,updated
CVE-1999-1129,0.01601,0.73934,updated
CVE-1999-1131,0.0208,0.80069,updated
CVE-1999-1134,0.00513,0.41377,updated
CVE-1999-1135,0.00512,0.41338,updated
CVE-1999-1137,0.00402,0.33123,updated
CVE-1999-1138,0.01577,0.73583,updated
CVE-1999-1142,0.00389,0.31759,updated
CVE-1999-1149,0.01371,0.69855,updated
CVE-1999-1150,0.01362,0.69661,updated
CVE-1999-1153,0.02093,0.80217,updated
CVE-1999-1155,0.02375,0.82571,updated
CVE-1999-1161,0.00539,0.42991,updated
CVE-1999-1164,0.13332,0.96097,updated
CVE-1999-1165,0.00464,0.38191,updated
CVE-1999-1168,0.00513,0.41388,updated
CVE-1999-1172,0.01053,0.61786,updated
CVE-1999-1176,0.00391,0.31944,updated
CVE-1999-1180,0.01691,0.75323,updated
CVE-1999-1181,0.00366,0.2935,updated
CVE-1999-1182,0.00429,0.35511,updated
CVE-1999-1183,0.02682,0.84686,updated
CVE-1999-1186,0.004,0.32924,updated
CVE-1999-1193,0.02206,0.81218,updated
CVE-1999-1194,0.0097,0.59268,updated
CVE-1999-1196,0.01341,0.69186,updated
CVE-1999-1197,0.00389,0.31759,updated
CVE-1999-1198,0.00414,0.34218,updated
CVE-1999-1200,0.01268,0.67557,updated
CVE-1999-1202,0.01268,0.67557,updated
CVE-1999-1205,0.00479,0.39208,updated
CVE-1999-1207,0.01994,0.79153,updated
CVE-1999-1213,0.01806,0.76889,updated
CVE-1999-1214,0.003,0.21997,updated
CVE-1999-1215,0.00377,0.3046,updated
CVE-1999-1217,0.02169,0.80897,updated
CVE-1999-1219,0.01281,0.67856,updated
CVE-1999-1221,0.0062,0.47039,updated
CVE-1999-1224,0.00337,0.26204,updated
CVE-1999-1226,0.00849,0.55393,updated
CVE-1999-1228,0.01925,0.78388,updated
CVE-1999-1229,0.00476,0.39034,updated
CVE-1999-1230,0.01268,0.67557,updated
CVE-1999-1231,0.01476,0.71879,updated
CVE-1999-1235,0.02735,0.84988,updated
CVE-1999-1237,0.08154,0.94411,updated
CVE-1999-1239,0.00474,0.38917,updated
CVE-1999-1240,0.01994,0.79153,updated
CVE-1999-1244,0.00334,0.25787,updated
CVE-1999-1245,0.01335,0.69032,updated
CVE-1999-1247,0.00515,0.41529,updated
CVE-1999-1251,0.00417,0.34468,updated
CVE-1999-1253,0.00389,0.31759,updated
CVE-1999-1255,0.01164,0.64858,updated
CVE-1999-1258,0.01355,0.69504,updated
CVE-1999-1261,0.01615,0.74155,updated
CVE-1999-1264,0.01502,0.72337,updated
CVE-1999-1265,0.01628,0.74336,updated
CVE-1999-1266,0.0132,0.68684,updated
CVE-1999-1268,0.00334,0.25788,updated
CVE-1999-1269,0.00297,0.21702,updated
CVE-1999-1270,0.00309,0.23031,updated
CVE-1999-1273,0.01306,0.68386,updated
CVE-1999-1274,0.01076,0.6245,updated
CVE-1999-1283,0.01268,0.67556,updated
CVE-1999-1284,0.01646,0.74627,updated
CVE-1999-1287,0.0132,0.68683,updated
CVE-1999-1288,0.0046,0.37908,updated
CVE-1999-1289,0.01362,0.69661,updated
CVE-1999-1290,0.0158,0.73619,updated
CVE-1999-1291,0.13451,0.96131,updated
CVE-1999-1292,0.01994,0.79153,updated
CVE-1999-1293,0.04025,0.89801,updated
CVE-1999-1295,0.00347,0.27305,updated
CVE-1999-1297,0.00345,0.27031,updated
CVE-1999-1298,0.01327,0.68826,updated
CVE-1999-1301,0.01327,0.68826,updated
CVE-1999-1307,0.00343,0.26815,updated
CVE-1999-1308,0.00484,0.39496,updated
CVE-1999-1312,0.00351,0.27751,updated
CVE-1999-1314,0.00331,0.25479,updated
CVE-1999-1315,0.00315,0.23696,updated
CVE-1999-1316,0.03935,0.89581,updated
CVE-1999-1317,0.01819,0.77082,updated
