#model_version:v2026.06.15,score_date:2026-09-24T12:00:20Z
cve,epss,percentile
CVE-1999-0283,0.08852,0.95018
CVE-1999-0284,0.11533,0.95874
CVE-1999-0285,0.06693,0.93661
CVE-1999-0286,0.0199,0.79754
CVE-1999-0287,0.06169,0.93219
CVE-1999-0288,0.21326,0.97518
CVE-1999-0289,0.03682,0.8925
CVE-1999-0290,0.01858,0.78285
CVE-1999-0291,0.02134,0.81191
CVE-1999-0292,0.06035,0.93089
CVE-1999-0293,0.02607,0.84733
CVE-1999-0294,0.14745,0.96555
CVE-1999-0295,0.00345,0.25218
CVE-1999-0296,0.00368,0.27899
CVE-1999-0297,0.00396,0.3102
CVE-1999-0298,0.02032,0.80207
CVE-1999-0299,0.013,0.69195
CVE-1999-0300,0.01144,0.65294
CVE-1999-0301,0.00779,0.5396
CVE-1999-0302,0.01546,0.73904
CVE-1999-0303,0.00347,0.25444
CVE-1999-0304,0.00361,0.27108
CVE-1999-0305,0.01364,0.70591
CVE-1999-0306,0.01672,0.75793
CVE-1999-0307,0.00608,0.46796
CVE-1999-0308,0.00512,0.4107
CVE-1999-0309,0.00529,0.42277
CVE-1999-0310,0.01518,0.73446
CVE-1999-0311,0.00529,0.42277
CVE-1999-0312,0.02476,0.8386
CVE-1999-0313,0.00349,0.25775
CVE-1999-0314,0.00706,0.51291
CVE-1999-0315,0.00843,0.561
CVE-1999-0316,0.0041,0.32452
CVE-1999-0317,0.0041,0.32452
CVE-1999-0318,0.00608,0.46796
CVE-1999-0319,0.00396,0.31019
CVE-1999-0320,0.01307,0.69327
CVE-1999-0321,0.00892,0.5769
CVE-1999-0322,0.003,0.20172
CVE-1999-0323,0.0135,0.70276
CVE-1999-0324,0.00609,0.46876
CVE-1999-0325,0.00529,0.42278
CVE-1999-0326,0.00512,0.4107
CVE-1999-0327,0.00327,0.23013
CVE-1999-0328,0.00679,0.5024
CVE-1999-0329,0.00345,0.2522
CVE-1999-0330,0.0041,0.32452
CVE-1999-0331,0.04989,0.91895
CVE-1999-0332,0.12794,0.96141
CVE-1999-0333,0.064,0.93416
CVE-1999-0334,0.00409,0.32326
CVE-1999-0336,0.00608,0.46795
CVE-1999-0337,0.02032,0.80207
CVE-1999-0338,0.00398,0.31216
CVE-1999-0339,0.00396,0.31019
CVE-1999-0340,0.004,0.31374
CVE-1999-0341,0.004,0.31373
CVE-1999-0342,0.00327,0.22994
CVE-1999-0343,0.01174,0.66158
CVE-1999-0344,0.0144,0.72026
CVE-1999-0345,0.01348,0.70244
CVE-1999-0346,0.01434,0.71931
CVE-1999-0347,0.07463,0.9424
CVE-1999-0348,0.10562,0.95617
CVE-1999-0349,0.17925,0.97076
CVE-1999-0350,0.00641,0.48429
CVE-1999-0351,0.01571,0.74297
CVE-1999-0352,0.00306,0.20747
CVE-1999-0353,0.02415,0.83426
CVE-1999-0354,0.05209,0.92182
CVE-1999-0355,0.01823,0.77845
CVE-1999-0356,0.01338,0.70017
CVE-1999-0357,0.16536,0.96893
CVE-1999-0358,0.00382,0.29343
CVE-1999-0359,0.02464,0.83777
CVE-1999-0360,0.05576,0.9258
CVE-1999-0361,0.01603,0.74768
CVE-1999-0362,0.02052,0.80414
CVE-1999-0363,0.00779,0.53961
CVE-1999-0364,0.05193,0.92157
CVE-1999-0365,0.04057,0.90267
CVE-1999-0366,0.03686,0.89259
CVE-1999-0367,0.00327,0.23014
CVE-1999-0368,0.39839,0.98575
CVE-1999-0369,0.0081,0.55026
CVE-1999-0370,0.00333,0.23902
CVE-1999-0371,0.00301,0.20283
CVE-1999-0372,0.04186,0.90545
CVE-1999-0373,0.00458,0.36991
CVE-1999-0374,0.00406,0.32053
CVE-1999-0375,0.02667,0.85106
CVE-1999-0376,0.02439,0.83597
CVE-1999-0377,0.01874,0.78467
CVE-1999-0378,0.01109,0.64413
CVE-1999-0379,0.05833,0.92887
CVE-1999-0380,0.00329,0.23298
CVE-1999-0381,0.00727,0.52126
CVE-1999-0382,0.03137,0.87353
CVE-1999-0383,0.01132,0.64981
CVE-1999-0384,0.01167,0.65926
CVE-1999-0385,0.1821,0.9711
CVE-1999-0386,0.19101,0.97223
CVE-1999-0387,0.07853,0.94474
CVE-1999-0388,0.00661,0.49443
CVE-1999-0389,0.00421,0.33733
CVE-1999-0390,0.00439,0.35483
CVE-1999-0391,0.04891,0.91746
CVE-1999-0392,0.01435,0.71939
CVE-1999-0393,0.02427,0.83518
CVE-1999-0394,0.01603,0.7477
CVE-1999-0395,0.00885,0.5746
CVE-1999-0396,0.01318,0.69578
CVE-1999-0397,0.01603,0.74769
CVE-1999-0398,0.00388,0.30095
CVE-1999-0399,0.02673,0.8515
CVE-1999-0400,0.01019,0.61815
CVE-1999-0401,0.00308,0.20923
CVE-1999-0402,0.01481,0.728
CVE-1999-0403,0.01299,0.69174
CVE-1999-0404,0.09801,0.95374
CVE-1999-0405,0.00755,0.53088
CVE-1999-0406,0.00396,0.31019
CVE-1999-0407,0.05126,0.92072
CVE-1999-0408,0.01506,0.73244
CVE-1999-0409,0.00708,0.51398
CVE-1999-0410,0.00688,0.50606
CVE-1999-0411,0.00398,0.31217
CVE-1999-0412,0.10238,0.95516
CVE-1999-0413,0.00343,0.25044
CVE-1999-0414,0.06863,0.93804
CVE-1999-0415,0.01387,0.71047
CVE-1999-0416,0.03424,0.88441
CVE-1999-0417,0.00574,0.45017
CVE-1999-0418,0.01995,0.79805
CVE-1999-0419,0.01386,0.71025
CVE-1999-0420,0.00398,0.31215
CVE-1999-0421,0.01572,0.74318
CVE-1999-0422,0.00361,0.27101
CVE-1999-0423,0.0048,0.38714
CVE-1999-0424,0.00377,0.28869
CVE-1999-0425,0.01255,0.68186
CVE-1999-0426,0.10762,0.95674
CVE-1999-0427,0.01212,0.67165
CVE-1999-0428,0.03234,0.87746
CVE-1999-0429,0.0136,0.70507
CVE-1999-0430,0.01858,0.78285
CVE-1999-0431,0.06635,0.93618
CVE-1999-0432,0.0048,0.38714
CVE-1999-0433,0.00713,0.5158
CVE-1999-0434,0.01101,0.64224
CVE-1999-0435,0.00612,0.4699
CVE-1999-0436,0.0048,0.38715
CVE-1999-0437,0.01858,0.78285
CVE-1999-0438,0.01807,0.77625
CVE-1999-0439,0.02531,0.84233
CVE-1999-0440,0.03636,0.89099
CVE-1999-0441,0.05522,0.92508
CVE-1999-0442,0.00676,0.5008
CVE-1999-0443,0.02234,0.82033
CVE-1999-0444,0.16536,0.96893
CVE-1999-0445,0.01109,0.64412
CVE-1999-0446,0.00291,0.19274
CVE-1999-0447,0.0048,0.38714
CVE-1999-0448,0.24612,0.97807
CVE-1999-0449,0.49253,0.98846
CVE-1999-0450,0.19027,0.97209
CVE-1999-0451,0.00735,0.52401
CVE-1999-0452,0.01603,0.74769
CVE-1999-0453,0.01415,0.71585
CVE-1999-0454,0.02705,0.85333
CVE-1999-0455,0.05845,0.929
CVE-1999-0457,0.00397,0.3108
CVE-1999-0458,0.00349,0.25665
CVE-1999-0459,0.00364,0.27442
CVE-1999-0460,0.00735,0.52426
CVE-1999-0461,0.03302,0.88038
CVE-1999-0462,0.00397,0.3108
CVE-1999-0463,0.01272,0.68582
CVE-1999-0464,0.00328,0.23178
CVE-1999-0465,0.02781,0.8578
CVE-1999-0466,0.00345,0.25218
CVE-1999-0467,0.07533,0.94281
CVE-1999-0468,0.0322,0.87701
CVE-1999-0469,0.17529,0.9703
CVE-1999-0470,0.03366,0.88262
CVE-1999-0471,0.02027,0.80156
CVE-1999-0472,0.01764,0.77057
CVE-1999-0473,0.0032,0.22285
CVE-1999-0474,0.01933,0.79156
CVE-1999-0475,0.00319,0.22093
CVE-1999-0476,0.00287,0.18829
CVE-1999-0477,0.05332,0.92309
CVE-1999-0478,0.0136,0.70508
CVE-1999-0479,0.01811,0.77677
CVE-1999-0480,0.00336,0.24242
CVE-1999-0481,0.00955,0.5971
CVE-1999-0482,0.00955,0.5971
CVE-1999-0483,0.00281,0.18336
CVE-1999-0484,0.00288,0.19013
CVE-1999-0485,0.00902,0.57983
CVE-1999-0486,0.01858,0.78284
CVE-1999-0487,0.13291,0.96253
CVE-1999-0488,0.11786,0.95932
CVE-1999-0489,0.12447,0.96067
CVE-1999-0490,0.09851,0.95392
CVE-1999-0491,0.00865,0.56846
CVE-1999-0492,0.09364,0.95216
CVE-1999-0493,0.04257,0.90685
CVE-1999-0494,0.01379,0.7089
CVE-1999-0495,0.03189,0.87557
CVE-1999-0496,0.01396,0.71214
CVE-1999-0497,0.07085,0.9399
CVE-1999-0498,0.03217,0.8768
CVE-1999-0499,0.0479,0.91595
CVE-1999-0501,0.00385,0.29707
CVE-1999-0502,0.53338,0.98951
CVE-1999-0503,0.0182,0.77802
CVE-1999-0504,0.64277,0.99205
CVE-1999-0505,0.01794,0.77456
CVE-1999-0506,0.17166,0.96982
CVE-1999-0507,0.01516,0.73416
CVE-1999-0508,0.0356,0.88875
CVE-1999-0509,0.33392,0.98321
CVE-1999-0510,0.01518,0.73447
CVE-1999-0511,0.06964,0.93887
CVE-1999-0512,0.12359,0.96054
CVE-1999-0513,0.70934,0.99382
CVE-1999-0514,0.01644,0.7539
CVE-1999-0515,0.01891,0.78671
CVE-1999-0516,0.10463,0.95585
CVE-1999-0517,0.28659,0.98074
CVE-1999-0518,0.0479,0.91595
CVE-1999-0519,0.05626,0.92654
CVE-1999-0520,0.01466,0.72544
CVE-1999-0521,0.00429,0.34396
CVE-1999-0522,0.00425,0.34048
CVE-1999-0523,0.01353,0.70357
CVE-1999-0524,0.32154,0.98259
CVE-1999-0525,0.03118,0.87273
CVE-1999-0526,0.20817,0.97465
CVE-1999-0527,0.01941,0.79252
CVE-1999-0528,0.01518,0.73445
CVE-1999-0529,0.01518,0.73446
CVE-1999-0530,0.01891,0.78673
CVE-1999-0532,0.69255,0.99335
CVE-1999-0533,0.01518,0.73445
CVE-1999-0534,0.01495,0.73051
CVE-1999-0535,0.0609,0.93149
CVE-1999-0537,0.05999,0.93053
CVE-1999-0539,0.01891,0.78671
CVE-1999-0541,0.01516,0.73417
CVE-1999-0546,0.01653,0.75507
CVE-1999-0547,0.02081,0.80699
CVE-1999-0548,0.01978,0.79608
CVE-1999-0549,0.0179,0.77392
CVE-1999-0550,0.01559,0.7412
CVE-1999-0551,0.00512,0.4107
CVE-1999-0554,0.11134,0.9579
CVE-1999-0555,0.0184,0.78041
CVE-1999-0556,0.01891,0.78672
CVE-1999-0559,0.02033,0.80214
CVE-1999-0560,0.05926,0.92976
CVE-1999-0561,0.07572,0.94304
CVE-1999-0562,0.10146,0.95489
CVE-1999-0564,0.0184,0.78041
CVE-1999-0565,0.01941,0.79252
CVE-1999-0566,0.01348,0.70245
CVE-1999-0568,0.0184,0.78043
CVE-1999-0569,0.01958,0.79422
CVE-1999-0570,0.0609,0.93148
CVE-1999-0571,0.01891,0.78671
CVE-1999-0572,0.05198,0.92164
CVE-1999-0575,0.05243,0.92216
CVE-1999-0576,0.04916,0.91781
CVE-1999-0577,0.06249,0.93295
CVE-1999-0578,0.01535,0.73724
CVE-1999-0579,0.06249,0.93295
CVE-1999-0580,0.01941,0.79252
CVE-1999-0581,0.06693,0.93661
CVE-1999-0582,0.06279,0.93325
CVE-1999-0583,0.01891,0.78671
CVE-1999-0584,0.01891,0.78669
CVE-1999-0585,0.02461,0.83756
CVE-1999-0586,0.01341,0.70105
CVE-1999-0587,0.01891,0.78672
CVE-1999-0588,0.01518,0.73446
CVE-1999-0589,0.01941,0.79253
CVE-1999-0590,0.06024,0.93077
CVE-1999-0591,0.01891,0.78668
CVE-1999-0592,0.01891,0.78668
CVE-1999-0593,0.02233,0.8202
CVE-1999-0594,0.01891,0.7867
CVE-1999-0595,0.02461,0.83756
CVE-1999-0596,0.01891,0.78668
CVE-1999-0597,0.03189,0.87557
CVE-1999-0598,0.01891,0.7867
CVE-1999-0599,0.01891,0.7867
CVE-1999-0600,0.01891,0.78669
CVE-1999-0601,0.01891,0.78669
CVE-1999-0602,0.01891,0.78668
CVE-1999-0603,0.01941,0.79254
CVE-1999-0604,0.01109,0.64411
CVE-1999-0605,0.01109,0.64411
CVE-1999-0606,0.01109,0.64411
CVE-1999-0607,0.01525,0.73548
